,precision,recall,f1-score,support
applaud,0.7089552238805971,0.9405940594059405,0.8085106382978723,101.0
wave_hands,0.8627450980392157,0.9072164948453608,0.8844221105527639,97.0
punch_with_fists,0.9318181818181818,0.4019607843137255,0.5616438356164384,102.0
squat,0.8064516129032258,1.0,0.8928571428571429,25.0
step_on_the_spot_walk,0.8692307692307693,0.9741379310344828,0.9186991869918699,116.0
accuracy,0.8208616780045351,0.8208616780045351,0.8208616780045351,0.8208616780045351
macro avg,0.8358401771743977,0.8447818539199019,0.8132265828632175,441.0
weighted avg,0.8420142091168905,0.8208616780045351,0.8018746591543434,441.0
