epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.26905661821365356,0.0005000000237487257,2.0275397300720215,0.3885819613933563,1.637071132659912
1,0.503396213054657,0.0005000000237487257,1.3796952962875366,0.3517495393753052,1.645257592201233
2,0.6207547187805176,0.0005000000237487257,1.1542997360229492,0.3001841604709625,1.6181894540786743
3,0.6977358460426331,0.0005000000237487257,1.0073268413543701,0.6335175037384033,1.0764654874801636
4,0.7339622378349304,0.0005000000237487257,0.9267613887786865,0.7274401187896729,0.9508705139160156
5,0.7577358484268188,0.0005000000237487257,0.8823252320289612,0.7992633581161499,0.8473004698753357
6,0.7705660462379456,0.0005000000237487257,0.844706118106842,0.7624309659004211,0.8770766258239746
7,0.7879245281219482,0.0005000000237487257,0.8252197504043579,0.6777163743972778,1.1592949628829956
8,0.7950943112373352,0.0005000000237487257,0.7777955532073975,0.8011049628257751,0.9424628615379333
9,0.8071697950363159,0.0005000000237487257,0.7834569215774536,0.7605893015861511,0.9493638873100281
10,0.8143396377563477,0.0002500000118743628,0.7362722754478455,0.7882136106491089,0.8293687701225281
11,0.8071697950363159,0.0002500000118743628,0.7395407557487488,0.6887661218643188,1.169374942779541
12,0.8188679218292236,0.0002500000118743628,0.7247394323348999,0.7569060921669006,0.891371488571167
13,0.8211320638656616,0.0002500000118743628,0.7000923752784729,0.7992633581161499,0.8737275004386902
14,0.8343396186828613,0.0002500000118743628,0.6926544904708862,0.7937384843826294,0.819002628326416
15,0.8298113346099854,0.0002500000118743628,0.6803682446479797,0.7734806537628174,0.933793842792511
16,0.8403773307800293,0.0002500000118743628,0.6850624680519104,0.7182320356369019,1.1583492755889893
17,0.8252829909324646,0.0002500000118743628,0.7006589770317078,0.7274401187896729,1.065999150276184
18,0.8358490467071533,0.0002500000118743628,0.676790177822113,0.8232043981552124,0.8136264085769653
19,0.8381131887435913,0.0002500000118743628,0.6581020355224609,0.8250460624694824,0.7887945771217346
20,0.843773603439331,0.0002500000118743628,0.6495989561080933,0.8213627934455872,0.8597219586372375
21,0.8358490467071533,0.0002500000118743628,0.6481115221977234,0.8084714412689209,0.8668819665908813
22,0.8415094614028931,0.0002500000118743628,0.640921950340271,0.7384898662567139,1.066147804260254
23,0.846415102481842,0.0002500000118743628,0.619396448135376,0.7513812184333801,1.000915765762329
24,0.8358490467071533,0.0001250000059371814,0.6364237070083618,0.7679557800292969,1.0140390396118164
25,0.849056601524353,0.0001250000059371814,0.6118763089179993,0.7974217534065247,0.9127441048622131
26,0.850943386554718,0.0001250000059371814,0.595045804977417,0.8232043981552124,0.8328619003295898
27,0.854339599609375,0.0001250000059371814,0.5818929672241211,0.8139963150024414,0.8510517477989197
28,0.851698100566864,6.25000029685907e-05,0.6001772284507751,0.7863720059394836,0.9551227688789368
29,0.846415102481842,6.25000029685907e-05,0.6162979006767273,0.8047882318496704,0.8955572843551636
30,0.845283031463623,6.25000029685907e-05,0.6145409941673279,0.7900552749633789,0.9732300639152527
31,0.853962242603302,6.25000029685907e-05,0.6141434907913208,0.8139963150024414,0.8644235730171204
